title,DOI
A Comparative Study on the Translation Quality of Specialized and General Machine Translation Outputs,10.1007/s10639-024-12650-x
Understanding machine translation fit for language learning: The mediating effect of machine translation literacy,10.1007/s10639-024-12650-x
Artificial Intelligence-based Machine English-Assisted Translation in the Internet of Things Environment,10.1155/2022/7428563
The implementation of Example-Based Machine Translation method in specialized machine translation systems,10.1007/s10639-024-12650-x
An Empirical Study on English to Hindi E-Contents Machine Translation through Multi Engines,10.1007/s10639-024-12650-x
A Comparative Study of Machine Translation and Human Translation-A Case Study of Kingsoft Powerword,10.1007/s10639-024-12650-x
The Relationship between Machine Translation and Human Translation under the Influence of Artificial Intelligence Machine Translation,10.1155/2022/9121636
Empirical survey of Machine Translation Tools,10.1007/s10639-024-12650-x
A Comprehensive Survey on Various Fully Automatic Machine Translation Evaluation Metrics,10.1007/s11063-022-10835-4
Design and Testing of Automatic Machine Translation System Based on Chinese-English Phrase Translation,10.1155/2021/3539155
